From,To,length,well,inverse_rho_Ca,Al2O3,Au,CaO,Cr,Cr2O3,Cu,Fe2O3,FeO,GR,IPlin161,IPlin1610,IPlin641,IPlin6410,K,K2O,Litho,MagSusc,Mg,MgO,MnO,N16,N32,N64,N8,Na2O,Ni,P2O5,rho_ND,S,SP,Th,TiO2,U,Vp,Vs,Sc,SPR,caliper,Co,Ba,SiO2
24.23,25.81,1.58,1,Inverse relationship,0.00171328,0.078,5.63026,0.0012286,2.58218,1.48712,0.497075,-0.0500649,12.6691,84.6693,16.9992,204.89,50.9667,0.17289,2.01639,M1CC,0.315772,99.6344,-0.596892,4.11294,2761.39,2699.88,1334.98,1942.81,-0.552558,1.04022,386.902,2.6279,8.38304,138.4,1.2827,-0.104313,0.368325,5554.59,                              ,,999.798,6.04489,,,
25.81,28.81,3,1,Inverse relationship,0.12639,0,4.15305,0.102476,2.94442,1.58466,0.512477,-0.0402919,2.56227,66.2535,16.4043,110.803,34.4506,0.03704,6.03825,M1CC,0.365704,133.088,-0.462889,3.28301,3500.48,4165.54,3756.26,2265.92,-0.216976,0.743628,386.902,2.698,3.69152,119.51,0.313524,-0.035414,0.077645,5891.09,3348.89,,1096.49,6.03508,,,
28.81,31.81,3,1,Direct relationship,0.259665,0,3.34574,0.031228,2.68951,1.19452,0.783553,0.131713,3.78144,68.1387,16.9803,112.518,35.5093,0.06691,11.0656,M1CC,0.434685,147.895,-0.403576,2.42345,3976.41,5182.92,5788.56,2455.82,-0.720349,0.833506,343.802,2.6616,1.34576,-26.52,0.404484,0.171283,0.113111,5731.54,3057.74,,1130.67,6.03878,,,
31.81,34.81,3,1,Inverse relationship,0.102158,0,6.04563,-0.014112,2.5273,1.28762,0.209758,-0.232376,6.25418,68.9139,16.3865,117.559,36.0551,0.10216,16.5499,M1CC,0.348038,63.3143,-0.742378,4.51308,4223.11,5534.89,6402.51,2589.06,1.92871,0.743301,798.313,2.6869,5.39752,-83.57,0.637273,0.0522756,0.247536,5855.99,3321.12,,1170.65,6.04471,,,
34.81,37.81,3,1,Inverse relationship,0.170705,0,4.1372,-0.200402,1.86079,1.52088,0.344951,-0.146592,11.27,71.7712,18.4048,123.177,40.2515,0.28145,47.2623,M1CC,0.400942,70.6316,-0.713068,3.50076,4445.41,6068.15,7827.2,2668.98,2.35582,0.0602805,357.063,2.7103,4.41329,-194.69,0.674694,0.144783,0.395139,5966.59,3369.14,,1177.96,6.03952,,,
37.81,40.81,3,1,Direct relationship,0.227114,0,3.34329,-0.0550202,2.38093,1.71702,0.365058,-0.133833,11.863,74.0233,19.6731,126.36,41.3529,0.29068,44.6768,M1CC,0.450668,78.207,-0.682723,2.56953,4325.43,5818.03,7386.07,2621.45,2.88316,0.17406,368.431,2.6934,6.53994,-109.24,1.17653,0.240182,0.331056,5886.32,3333.01,,1170.47,6.04248,,,
40.81,43.81,3,1,Direct relationship,0.134988,0,2.50408,0.0868998,2.88869,1.02571,0.603705,0.0175943,4.35211,75.3187,19.3819,124.641,39.1302,0.07277,11.0656,M1CC,0.423749,171.625,-0.308523,3.04931,3765.36,4703.54,5185.57,2384.02,2.66558,0.675874,357.063,2.6681,8.20259,71.07,0.390141,0.0811843,0.158851,5757.75,                              ,,1118.69,6.03582,,,
43.81,46.81,3,1,Inverse relationship,0.212374,0,2.45255,0.154975,3.13225,2.16986,0.629533,0.0339828,3.29879,73.1758,17.7527,125.25,38.8266,0.06649,9.05465,M1CC,0.429544,170.106,-0.314607,2.97179,3732.67,4588.41,4626.6,2362.46,4.81675,0.81553,386.902,2.6661,8.38304,62.76,0.324219,0.171283,0.148721,5745.53,3351.92,,1109.01,6.05063,,,
46.81,47.81,1,1,Inverse relationship,0.263964,0,1.96816,0.169975,3.18592,1.43835,0.774311,0.125849,1.69703,74.2146,18.3396,129.211,39.0261,0.01482,0.00546,M1Cb1,0.42244,179.977,-0.275065,2.11222,3779.12,4702.24,5072.03,2384.37,2.6914,0.63937,343.802,2.7468,4.8644,68.16,0.234462,0.102384,0.0292296,6132.94,3534.09,,1114.16,6.04397,,,
47.81,48.81,1,1,Inverse relationship,0.150862,0,2.21868,-0.0896348,2.25709,2.10609,0.586644,0.0067688,1.13275,73.95,18.5351,128.651,40.3222,0.00554,1.78436,M1Cb1,0.45665,175.168,-0.294329,2.1601,3838.4,4762.18,4896.81,2408.74,3.38838,0.239483,436.633,2.7414,8.20259,52.5,0.12639,-0.109613,0.045226,6111.46,3062.96,,1114.05,6.0373,,,
48.81,49.81,1,1,Direct relationship,0.18261,0,2.2821,-0.0169441,2.51716,1.16076,0.592331,0.0103773,1.46878,73.797,18.9472,127.812,40.0856,0.01485,0.85624,M1Cb1,0.450762,186.305,-0.249717,2.48843,3715.92,4600.49,4849.01,2349.49,3.23349,0.700763,357.063,2.7463,6.57861,80.94,0.0664223,0.0811843,0.0565784,6131.89,2976.93,,1096.11,6.04618,,,
49.81,50.81,1,1,Inverse relationship,0.259665,0,2.86479,-0.0925194,2.24677,1.63342,0.725025,0.0945754,1.55048,73.3932,18.8198,128.494,42.224,0.01448,1.01093,M1Cb1,0.409541,221.657,-0.10811,3.07553,3565.49,4322.96,4390.64,2280.91,2.6914,0.342773,386.902,2.7342,4.27796,92.73,0.124462,0.102384,0.0646015,6075.23,3407.55,,1079.63,6.0173,,,
50.81,51.81,1,1,Direct relationship,0.203776,0,2.91632,0.132476,3.05175,1.92603,0.792794,0.137577,2.36526,72.5776,18.9176,122.672,42.2619,0.03838,1.01093,M1Cb1,0.423842,230.158,-0.0740598,3.43122,3134.25,3658.38,3898.89,2073.35,1.46093,0.824518,386.902,2.7414,10.1424,116.19,0.162845,0.033485,0.0790455,6114.72,3395.9,,1029.75,6.03508,,,
51.81,53.55,1.74,1,Inverse relationship,0.460008,0.008,3.20489,0.205974,3.31472,0.872656,1.2068,0.400275,1.84766,69.1662,17.5769,105.49,32.8856,0.01832,0.20656,M1Cb1,0.427007,269.808,0.0847669,2.78802,2513.9,3041.88,3500,1707.15,1.21484,0.833506,309.322,2.7173,4.62982,196.989,0.17581,-0.173212,0.100894,5991.24,3531.29,,910.636,5.85505,,,
53.55,54.56,1.01,1,Direct relationship,0.425184,0.968,1.61775,-0.0718948,2.32056,4.04739,0.312251,-0.167341,1.84509,63.2605,13.1671,111.271,33.1456,0.01267,                           ,M1Cb1,0.195027,192.728,-0.22399,0.627249,3288.18,3777.04,3202.03,2148.46,0.677908,0.509946,63.6503,2.6501,18.3525,114.18,0.303894,-0.379909,0.0910269,5656.84,2800.98,,1041.51,5.64016,,,
54.56,55.81,1.25,1,Inverse relationship,0.372304,4.035,0.690202,-0.177418,1.94302,5.32021,0.522951,-0.0336463,1.70829,66.3983,15.3397,114.6,35.4487,0.01087,                           ,M1Cb1,0.0411936,206.301,-0.169619,0.404947,4018.17,5127.37,5383.69,2466.07,0.745025,0.328752,102.441,2.6793,7.44473,-29.544,0.157272,-0.33857,0.0348337,5820.17,3563.74,,1109.46,5.63643,,,
55.81,56.81,1,1,Direct relationship,0.536247,7.72,0.813875,0.209974,3.32903,1.92603,0.922171,0.21967,1.53245,68.4769,16.3445,118.155,37.3767,0.01891,                           ,M1Cb1,0.242977,333.534,0.340032,0.725062,4102.33,5429.98,6526.39,2488.84,0.789769,0.994087,113.934,2.6783,6.03728,-92.25,0.173546,-0.173212,0.0662173,5845.31,3718.47,,1108.62,5.61905,,,
